Geneid	pErk_DE	pErk_mutant_DE	GeneSymbol
ENSMUSG00000000049	Down	No change	Apoh
ENSMUSG00000000088	Down	No change	Cox5a
ENSMUSG00000000094	Up	No change	Tbx4
ENSMUSG00000000120	Up	No change	Ngfr
ENSMUSG00000000125	Down	No change	Wnt3
ENSMUSG00000000142	Up	No change	Axin2
ENSMUSG00000000182	Down	No change	Fgf23
ENSMUSG00000000184	Up	No change	Ccnd2
ENSMUSG00000000202	Up	No change	Btbd17
ENSMUSG00000000266	Down	Up	Mid2
ENSMUSG00000000296	Up	No change	Tpd52l1
ENSMUSG00000000305	Up	No change	Cdh4
ENSMUSG00000000317	Up	No change	Bcl6b
ENSMUSG00000000378	Up	No change	Ccm2
ENSMUSG00000000402	Up	Down	Egfl6
ENSMUSG00000000486	Up	Down	Septin1
ENSMUSG00000000489	Up	No change	Pdgfb
ENSMUSG00000000530	Up	No change	Acvrl1
ENSMUSG00000000544	Up	Down	Gpa33
ENSMUSG00000000555	Up	No change	Itga5
ENSMUSG00000000567	Up	No change	Sox9
ENSMUSG00000000617	Up	No change	Grm6
ENSMUSG00000000632	Down	No change	Sez6
ENSMUSG00000000706	Down	No change	Btn1a1
ENSMUSG00000000730	Up	Down	Dnmt3l
ENSMUSG00000000732	Up	No change	Icosl
ENSMUSG00000000782	Up	No change	Tcf7
ENSMUSG00000000938	Up	No change	Hoxa10
ENSMUSG00000000958	Up	No change	Slc7a7
ENSMUSG00000001021	Up	No change	S100a3
ENSMUSG00000001023	Up	No change	S100a5
ENSMUSG00000001025	Up	No change	S100a6
ENSMUSG00000001053	Up	No change	N4bp3
ENSMUSG00000001166	Down	No change	Oas1c
ENSMUSG00000001240	Up	No change	Ramp2
ENSMUSG00000001281	Up	Down	Itgb7
ENSMUSG00000001288	Up	Down	Rarg
ENSMUSG00000001300	Up	Up	Efnb2
ENSMUSG00000001348	Down	No change	Acp5
ENSMUSG00000001493	Up	No change	Meox1
ENSMUSG00000001494	Up	Up	Sost
ENSMUSG00000001507	Up	Down	Itga3
ENSMUSG00000001642	Up	Down	Akr1b3
ENSMUSG00000001655	Down	No change	Hoxc13
ENSMUSG00000001741	Up	No change	Il16
ENSMUSG00000001870	Down	No change	Ltbp1
ENSMUSG00000001930	Down	No change	Vwf
ENSMUSG00000001943	Up	No change	Vsig2
ENSMUSG00000001946	Up	No change	Esam
ENSMUSG00000001995	Up	No change	Sipa1l2
ENSMUSG00000002068	Up	No change	Ccne1
ENSMUSG00000002204	Down	No change	Napsa
ENSMUSG00000002228	Up	Down	Ppm1j
ENSMUSG00000002257	Up	Down	Def6
ENSMUSG00000002413	Up	No change	Braf
ENSMUSG00000002459	Up	Down	Rgs20
ENSMUSG00000002475	Down	No change	Abhd3
ENSMUSG00000002565	Up	No change	Scin
ENSMUSG00000002603	Up	Down	Tgfb1
ENSMUSG00000002844	Up	No change	Adprh
ENSMUSG00000002847	Up	Down	Pla1a
ENSMUSG00000002881	Up	No change	Nab1
ENSMUSG00000002997	Down	No change	Prkar2b
ENSMUSG00000003031	Down	No change	Cdkn1b
ENSMUSG00000003032	Down	No change	Klf4
ENSMUSG00000003283	Down	No change	Hck
ENSMUSG00000003418	Up	No change	St8sia6
ENSMUSG00000003541	Up	No change	Ier3
ENSMUSG00000003847	Up	No change	Nfat5
ENSMUSG00000003949	Down	No change	Hlf
ENSMUSG00000004044	Up	Down	Cavin1
ENSMUSG00000004231	Down	No change	Pax2
ENSMUSG00000004359	Down	Down	Spic
ENSMUSG00000004360	Up	Down	9330159F19Rik
ENSMUSG00000004568	Down	No change	Arhgef18
ENSMUSG00000004698	Down	No change	Hdac9
ENSMUSG00000004837	Up	No change	Grap
ENSMUSG00000004872	Down	No change	Pax3
ENSMUSG00000004952	Down	No change	Rasa4
ENSMUSG00000004988	Up	No change	Fxyd4
ENSMUSG00000005107	Up	No change	Slc2a9
ENSMUSG00000005148	Up	No change	Klf5
ENSMUSG00000005268	Down	No change	Prlr
ENSMUSG00000005320	Up	No change	Fgfr4
ENSMUSG00000005357	Down	No change	Slc1a6
ENSMUSG00000005373	Down	No change	Mlxipl
ENSMUSG00000005503	Up	Down	Evx1
ENSMUSG00000005672	Down	No change	Kit
ENSMUSG00000005836	Up	Up	Gata6
ENSMUSG00000005892	Up	Down	Trh
ENSMUSG00000006056	Down	No change	Calcoco2
ENSMUSG00000006218	Down	Down	Fam131c
ENSMUSG00000006386	Down	No change	Tek
ENSMUSG00000006390	Up	No change	Elovl1
ENSMUSG00000006398	Up	No change	Cdc20
ENSMUSG00000006457	Down	No change	Actn3
ENSMUSG00000006494	Up	No change	Pdk1
ENSMUSG00000006586	Down	Down	Runx1t1
ENSMUSG00000006649	Up	Down	Nphs1
ENSMUSG00000006651	Up	Down	Aplp1
ENSMUSG00000006731	Up	No change	B4galnt1
ENSMUSG00000006777	Up	No change	Krt23
ENSMUSG00000007034	Up	No change	Slc44a4
ENSMUSG00000007216	Down	No change	Zfp775
ENSMUSG00000007476	Up	No change	Lrrc8a
ENSMUSG00000007480	Down	No change	Mc5r
ENSMUSG00000007646	Down	No change	Rad51c
ENSMUSG00000007659	Up	No change	Bcl2l1
ENSMUSG00000007888	Up	Down	Crlf1
ENSMUSG00000007944	Down	No change	Ttc9b
ENSMUSG00000008129	Up	No change	Brme1
ENSMUSG00000008136	Up	No change	Fhl2
ENSMUSG00000008384	Up	No change	Sertad1
ENSMUSG00000008398	Up	No change	Elk3
ENSMUSG00000008575	Up	No change	Nfib
ENSMUSG00000009070	Down	No change	Rsph14
ENSMUSG00000009216	Down	No change	Fam163b
ENSMUSG00000009394	Down	No change	Syn2
ENSMUSG00000009418	Up	No change	Nav1
ENSMUSG00000009687	Up	Up	Fxyd5
ENSMUSG00000009739	Down	No change	Pou6f1
ENSMUSG00000009876	Up	No change	Cox4i2
ENSMUSG00000010021	Up	No change	Kif19a
ENSMUSG00000010047	Up	Up	Hyal2
ENSMUSG00000010048	Up	No change	Ifrd2
ENSMUSG00000010064	Up	No change	Slc38a3
ENSMUSG00000010066	Down	No change	Cacna2d2
ENSMUSG00000010175	Down	No change	Prox1
ENSMUSG00000010461	Up	Down	Eya4
ENSMUSG00000010529	Up	No change	Gm266
ENSMUSG00000010607	Down	No change	Pigyl
ENSMUSG00000010660	Up	No change	Plcd1
ENSMUSG00000011034	Down	Down	Slc5a1
ENSMUSG00000011179	Up	No change	Odc1
ENSMUSG00000011256	Up	No change	Adam19
ENSMUSG00000012017	Up	Up	Scarf2
ENSMUSG00000012123	Up	No change	Crybg2
ENSMUSG00000012282	Up	Down	Wnt8a
ENSMUSG00000012350	Down	Down	Ehf
ENSMUSG00000012396	Down	Down	Nanog
ENSMUSG00000012428	Up	Down	Steap4
ENSMUSG00000012519	Up	No change	Mlkl
ENSMUSG00000013419	Down	No change	Zfp651
ENSMUSG00000013483	Down	Up	Card14
ENSMUSG00000013584	Down	No change	Aldh1a2
ENSMUSG00000014030	Down	No change	Pax5
ENSMUSG00000014158	Down	No change	Trpv4
ENSMUSG00000014164	Down	No change	Klhl3
ENSMUSG00000014361	Down	No change	Mertk
ENSMUSG00000014686	Up	No change	Ceacam16
ENSMUSG00000014776	Up	Down	Nol3
ENSMUSG00000014837	Up	Down	4931428F04Rik
ENSMUSG00000014846	Down	No change	Tppp3
ENSMUSG00000014859	Up	Down	E2f4
ENSMUSG00000015001	Down	No change	Oc90
ENSMUSG00000015053	Down	No change	Gata2
ENSMUSG00000015133	Up	No change	Lrrk1
ENSMUSG00000015134	Up	Up	Aldh1a3
ENSMUSG00000015340	Up	Down	Cybb
ENSMUSG00000015396	Down	No change	Cd83
ENSMUSG00000015476	Up	Down	Prrt1
ENSMUSG00000015568	Down	No change	Lpl
ENSMUSG00000015652	Up	No change	Steap1
ENSMUSG00000015766	Up	Down	Eps8
ENSMUSG00000015957	Down	No change	Wnt11
ENSMUSG00000015962	Up	No change	1700016C15Rik
ENSMUSG00000016150	Up	Down	Tenm1
ENSMUSG00000016262	Down	Up	Sertad4
ENSMUSG00000016382	Down	No change	Pls3
ENSMUSG00000016458	Up	No change	Wt1
ENSMUSG00000016496	Down	No change	Cd274
ENSMUSG00000016503	Up	No change	Gtf3a
ENSMUSG00000016918	Up	Down	Sulf1
ENSMUSG00000017009	Up	No change	Sdc4
ENSMUSG00000017412	Down	No change	Cacnb4
ENSMUSG00000017466	Down	No change	Timp2
ENSMUSG00000017491	Down	No change	Rarb
ENSMUSG00000017493	Up	Up	Igfbp4
ENSMUSG00000017607	Up	No change	Tns4
ENSMUSG00000017639	Down	No change	Rab11fip4
ENSMUSG00000017723	Down	No change	Wfdc2
ENSMUSG00000017724	Up	No change	Etv4
ENSMUSG00000017737	Up	Up	Mmp9
ENSMUSG00000017817	Down	No change	Jph2
ENSMUSG00000017978	Down	No change	Cadps2
ENSMUSG00000018171	Up	No change	Vmp1
ENSMUSG00000018263	Down	No change	Tbx5
ENSMUSG00000018339	Down	No change	Gpx3
ENSMUSG00000018340	Down	No change	Anxa6
ENSMUSG00000018341	Up	No change	Il12rb2
ENSMUSG00000018381	Up	No change	Abi3
ENSMUSG00000018427	Down	No change	Ypel2
ENSMUSG00000018470	Up	No change	Kcnab3
ENSMUSG00000018486	Down	No change	Wnt9b
ENSMUSG00000018554	Down	No change	Ybx2
ENSMUSG00000018654	Down	No change	Ikzf1
ENSMUSG00000018672	Down	No change	Copz2
ENSMUSG00000018750	Down	No change	Zbtb4
ENSMUSG00000018819	Up	No change	Lsp1
ENSMUSG00000018822	Down	No change	Sfrp5
ENSMUSG00000018865	Up	Down	Sult4a1
ENSMUSG00000018893	Up	No change	Mb
ENSMUSG00000018899	Down	No change	Irf1
ENSMUSG00000018907	Down	No change	Alox12e
ENSMUSG00000018983	Up	No change	E2f2
ENSMUSG00000019146	Down	Down	Cacng2
ENSMUSG00000019256	Down	No change	Ahr
ENSMUSG00000019487	Up	No change	Trip10
ENSMUSG00000019539	Down	No change	Rcn3
ENSMUSG00000019647	Up	No change	Sema6a
ENSMUSG00000019715	Up	No change	Gle1
ENSMUSG00000019775	Up	No change	Rgs17
ENSMUSG00000019787	Down	No change	Trdn
ENSMUSG00000019791	Up	Down	Hint3
ENSMUSG00000019817	Down	No change	Plagl1
ENSMUSG00000019822	Down	No change	Smpd2
ENSMUSG00000019843	Up	No change	Fyn
ENSMUSG00000019851	Up	No change	Perp
ENSMUSG00000019852	Down	No change	Arfgef3
ENSMUSG00000019872	Down	No change	Smpdl3a
ENSMUSG00000019873	Up	No change	Reep3
ENSMUSG00000019876	Down	No change	Pkib
ENSMUSG00000019877	Down	No change	Serinc1
ENSMUSG00000019892	Down	No change	Lrriq1
ENSMUSG00000019894	Down	Down	Slc6a15
ENSMUSG00000019923	Up	No change	Zwint
ENSMUSG00000019933	Down	No change	Mrln
ENSMUSG00000019944	Up	No change	Rhobtb1
ENSMUSG00000019945	Down	No change	Cabcoco1
ENSMUSG00000019960	Up	No change	Dusp6
ENSMUSG00000019970	Down	No change	Sgk1
ENSMUSG00000019982	Down	No change	Myb
ENSMUSG00000019989	Up	Down	Enpp3
ENSMUSG00000019990	Down	No change	Pde7b
ENSMUSG00000019997	Down	Down	Ccn2
ENSMUSG00000020000	Down	No change	Moxd1
ENSMUSG00000020015	Up	No change	Cdk17
ENSMUSG00000020027	Up	No change	Socs2
ENSMUSG00000020037	Up	Down	Rfx4
ENSMUSG00000020057	Up	No change	Dram1
ENSMUSG00000020102	Down	No change	Slc16a7
ENSMUSG00000020105	Down	No change	Lrig3
ENSMUSG00000020108	Up	No change	Ddit4
ENSMUSG00000020123	Up	No change	Avpr1a
ENSMUSG00000020154	Up	No change	Ptprb
ENSMUSG00000020160	Up	No change	Meis1
ENSMUSG00000020173	Down	Down	Cobl
ENSMUSG00000020181	Up	No change	Nav3
ENSMUSG00000020183	Up	No change	Cpm
ENSMUSG00000020205	Up	No change	Phlda1
ENSMUSG00000020218	Down	Up	Wif1
ENSMUSG00000020303	Up	No change	Stc2
ENSMUSG00000020312	Down	No change	Shc2
ENSMUSG00000020334	Down	Up	Slc22a4
ENSMUSG00000020354	Down	No change	Sgcd
ENSMUSG00000020357	Up	No change	Flt4
ENSMUSG00000020388	Down	No change	Pdlim4
ENSMUSG00000020400	Down	No change	Tnip1
ENSMUSG00000020439	Up	No change	Smtn
ENSMUSG00000020467	Down	No change	Efemp1
ENSMUSG00000020473	Up	No change	Aebp1
ENSMUSG00000020524	Down	No change	Gria1
ENSMUSG00000020542	Down	No change	Myocd
ENSMUSG00000020545	Down	No change	Lrrc72
ENSMUSG00000020562	Down	No change	Efcab10
ENSMUSG00000020589	Up	Down	Cyria
ENSMUSG00000020592	Up	No change	Sdc1
ENSMUSG00000020598	Down	No change	Nrcam
ENSMUSG00000020601	Up	No change	Trib2
ENSMUSG00000020604	Down	No change	Arsg
ENSMUSG00000020607	Up	Down	Lratd1
ENSMUSG00000020614	Up	No change	Fam20a
ENSMUSG00000020623	Down	No change	Map2k6
ENSMUSG00000020651	Down	No change	Slc26a4
ENSMUSG00000020658	Up	Down	Efr3b
ENSMUSG00000020660	Up	No change	Pomc
ENSMUSG00000020682	Up	Up	Mmp28
ENSMUSG00000020704	Down	No change	Asic2
ENSMUSG00000020707	Down	No change	Rnf135
ENSMUSG00000020709	Down	No change	Adap2
ENSMUSG00000020712	Up	Down	Tcam1
ENSMUSG00000020717	Up	No change	Pecam1
ENSMUSG00000020723	Down	No change	Cacng4
ENSMUSG00000020733	Up	No change	Slc9a3r1
ENSMUSG00000020773	Down	No change	Trim47
ENSMUSG00000020798	Down	No change	Spns3
ENSMUSG00000020846	Down	Up	Rflnb
ENSMUSG00000020865	Up	No change	Abcc3
ENSMUSG00000020890	Down	No change	Gucy2e
ENSMUSG00000020902	Up	Down	Ntn1
ENSMUSG00000020905	Up	No change	Usp43
ENSMUSG00000020926	Down	No change	Adam11
ENSMUSG00000020941	Up	No change	Map3k14
ENSMUSG00000021055	Up	No change	Esr2
ENSMUSG00000021061	Up	No change	Sptb
ENSMUSG00000021068	Up	No change	Nin
ENSMUSG00000021095	Down	No change	Gsc
ENSMUSG00000021098	Up	No change	4930447C04Rik
ENSMUSG00000021185	Down	No change	Dglucy
ENSMUSG00000021186	Down	No change	Fbln5
ENSMUSG00000021194	Up	No change	Chga
ENSMUSG00000021196	Up	No change	Pfkp
ENSMUSG00000021219	Down	No change	Rgs6
ENSMUSG00000021221	Down	Up	Dpf3
ENSMUSG00000021226	Down	No change	Acot2
ENSMUSG00000021256	Up	No change	Vash1
ENSMUSG00000021259	Down	No change	Cyp46a1
ENSMUSG00000021260	Down	Up	Hhipl1
ENSMUSG00000021278	Up	No change	Amn
ENSMUSG00000021280	Up	No change	Exoc3l4
ENSMUSG00000021281	Up	Up	Tnfaip2
ENSMUSG00000021313	Down	No change	Ryr2
ENSMUSG00000021365	Down	No change	Nedd9
ENSMUSG00000021366	Up	No change	Hivep1
ENSMUSG00000021379	Down	No change	Id4
ENSMUSG00000021384	Down	No change	Susd3
ENSMUSG00000021396	Up	No change	Nxnl2
ENSMUSG00000021403	Up	No change	Serpinb9b
ENSMUSG00000021411	Up	No change	Pxdc1
ENSMUSG00000021477	Up	No change	Ctsl
ENSMUSG00000021493	Up	No change	Pdlim7
ENSMUSG00000021536	Down	No change	Adcy2
ENSMUSG00000021553	Down	No change	Slc28a3
ENSMUSG00000021596	Down	No change	Mctp1
ENSMUSG00000021604	Down	No change	Irx4
ENSMUSG00000021638	Down	No change	Ocln
ENSMUSG00000021678	Up	Down	F2rl1
ENSMUSG00000021696	Down	No change	Elovl7
ENSMUSG00000021701	Up	No change	Plk2
ENSMUSG00000021708	Down	No change	Rasgrf2
ENSMUSG00000021718	Down	No change	Nt5el
ENSMUSG00000021728	Up	No change	Emb
ENSMUSG00000021732	Down	No change	Fgf10
ENSMUSG00000021733	Up	No change	Slc4a7
ENSMUSG00000021750	Down	No change	Fam107a
ENSMUSG00000021779	Down	No change	Thrb
ENSMUSG00000021794	Up	No change	Glud1
ENSMUSG00000021803	Down	No change	Cdhr1
ENSMUSG00000021814	Up	No change	Anxa7
ENSMUSG00000021822	Up	Up	Plau
ENSMUSG00000021835	Up	No change	Bmp4
ENSMUSG00000021872	Up	No change	Rnase10
ENSMUSG00000021983	Down	No change	Atp8a2
ENSMUSG00000021991	Up	Down	Cacna2d3
ENSMUSG00000022012	Up	Down	Enox1
ENSMUSG00000022015	Up	Down	Tnfsf11
ENSMUSG00000022018	Down	No change	Rgcc
ENSMUSG00000022053	Down	No change	Ebf2
ENSMUSG00000022075	Up	No change	Rhobtb2
ENSMUSG00000022085	Up	Down	Pebp4
ENSMUSG00000022094	Up	Down	Slc39a14
ENSMUSG00000022096	Up	No change	Hr
ENSMUSG00000022098	Up	Up	Bmp1
ENSMUSG00000022102	Up	No change	Dok2
ENSMUSG00000022114	Up	No change	Spry2
ENSMUSG00000022122	Down	No change	Ednrb
ENSMUSG00000022123	Down	No change	Scel
ENSMUSG00000022132	Down	No change	Cldn10
ENSMUSG00000022150	Down	No change	Dab2
ENSMUSG00000022203	Up	No change	Efs
ENSMUSG00000022206	Down	No change	Npr3
ENSMUSG00000022220	Up	No change	Adcy4
ENSMUSG00000022221	Up	No change	Ripk3
ENSMUSG00000022237	Up	No change	Ankrd33b
ENSMUSG00000022245	Up	Down	Skor1
ENSMUSG00000022286	Up	No change	Grhl2
ENSMUSG00000022309	Down	No change	Angpt1
ENSMUSG00000022330	Down	No change	Osr2
ENSMUSG00000022346	Up	Down	Myc
ENSMUSG00000022358	Up	Up	Fbxo32
ENSMUSG00000022382	Up	No change	Wnt7b
ENSMUSG00000022388	Down	No change	Ttll8
ENSMUSG00000022421	Up	No change	Nptxr
ENSMUSG00000022438	Up	No change	Parvb
ENSMUSG00000022439	Up	No change	Parvg
ENSMUSG00000022440	Down	No change	C1qtnf6
ENSMUSG00000022454	Up	Down	Nell2
ENSMUSG00000022469	Up	No change	Rapgef3
ENSMUSG00000022475	Down	No change	Hdac7
ENSMUSG00000022483	Down	No change	Col2a1
ENSMUSG00000022489	Down	No change	Pde1b
ENSMUSG00000022490	Down	No change	Ppp1r1a
ENSMUSG00000022510	Down	No change	Trp63
ENSMUSG00000022523	Down	No change	Fgf12
ENSMUSG00000022525	Down	No change	Plaat1
ENSMUSG00000022565	Up	No change	Plec
ENSMUSG00000022574	Up	Down	Naprt
ENSMUSG00000022596	Up	No change	Slurp1
ENSMUSG00000022602	Up	Down	Arc
ENSMUSG00000022603	Up	Down	Mroh4
ENSMUSG00000022607	Up	No change	Ptk2
ENSMUSG00000022619	Down	No change	Mapk8ip2
ENSMUSG00000022620	Up	No change	Arsa
ENSMUSG00000022622	Up	No change	Acr
ENSMUSG00000022623	Up	No change	Shank3
ENSMUSG00000022629	Down	No change	Kif21a
ENSMUSG00000022636	Down	No change	Alcam
ENSMUSG00000022641	Up	No change	Bbx
ENSMUSG00000022723	Up	No change	Crybg3
ENSMUSG00000022724	Up	No change	Riox2
ENSMUSG00000022750	Up	No change	Klhl22
ENSMUSG00000022753	Up	Down	Tmem30c
ENSMUSG00000022759	Down	No change	Lrrc74b
ENSMUSG00000022762	Down	No change	Ncam2
ENSMUSG00000022783	Down	Down	Spag6l
ENSMUSG00000022799	Up	No change	Arhgap31
ENSMUSG00000022805	Up	Down	Cfap91
ENSMUSG00000022809	Up	No change	Nr1i2
ENSMUSG00000022843	Up	No change	Clcn2
ENSMUSG00000022864	Up	No change	D16Ertd472e
ENSMUSG00000022878	Up	Down	Adipoq
ENSMUSG00000022895	Down	No change	Ets2
ENSMUSG00000022906	Up	Down	Parp9
ENSMUSG00000022941	Up	Down	Ripply3
ENSMUSG00000022949	Down	No change	Clic6
ENSMUSG00000022952	Up	No change	Runx1
ENSMUSG00000022967	Up	No change	Ifnar1
ENSMUSG00000022994	Down	No change	Adcy6
ENSMUSG00000023000	Up	No change	Dhh
ENSMUSG00000023022	Down	No change	Lima1
ENSMUSG00000023032	Down	No change	Slc4a8
ENSMUSG00000023034	Up	No change	Nr4a1
ENSMUSG00000023064	Up	Down	Sncg
ENSMUSG00000023087	Up	No change	Noct
ENSMUSG00000023176	Down	No change	Cpn2
ENSMUSG00000023186	Down	No change	Vwa5a
ENSMUSG00000023224	Down	No change	Serping1
ENSMUSG00000023266	Down	No change	Frs3
ENSMUSG00000023333	Up	No change	Gcm1
ENSMUSG00000023341	Down	No change	Mx2
ENSMUSG00000023439	Down	No change	Gnb3
ENSMUSG00000023484	Down	No change	Prph
ENSMUSG00000023755	Up	No change	Rhebl1
ENSMUSG00000023802	Down	No change	Nox3
ENSMUSG00000023827	Up	No change	Agpat4
ENSMUSG00000023861	Up	No change	Mpc1
ENSMUSG00000023882	Up	No change	Zfp54
ENSMUSG00000023903	Up	No change	Mmp25
ENSMUSG00000023904	Up	No change	Hcfc1r1
ENSMUSG00000023905	Up	No change	Tnfrsf12a
ENSMUSG00000023906	Up	No change	Cldn6
ENSMUSG00000023913	Up	No change	Pla2g7
ENSMUSG00000023942	Up	No change	Slc29a1
ENSMUSG00000023964	Down	No change	Calcr
ENSMUSG00000024013	Down	No change	Fgd2
ENSMUSG00000024076	Down	No change	Vit
ENSMUSG00000024084	Up	Down	Qpct
ENSMUSG00000024087	Down	No change	Cyp1b1
ENSMUSG00000024107	Down	No change	Lhcgr
ENSMUSG00000024176	Up	No change	Sox8
ENSMUSG00000024190	Up	No change	Dusp1
ENSMUSG00000024211	Down	No change	Grm8
ENSMUSG00000024227	Down	No change	Pdzph1
ENSMUSG00000024235	Up	No change	Map3k8
ENSMUSG00000024242	Up	No change	Map4k3
ENSMUSG00000024245	Up	No change	Tmem178
ENSMUSG00000024253	Down	No change	Dync2li1
ENSMUSG00000024268	Up	No change	Celf4
ENSMUSG00000024300	Down	Down	Myo1f
ENSMUSG00000024304	Up	Up	Cdh2
ENSMUSG00000024331	Down	Up	Dsc2
ENSMUSG00000024381	Up	Down	Bin1
ENSMUSG00000024421	Up	Down	Lama3
ENSMUSG00000024425	Up	No change	Ndfip1
ENSMUSG00000024427	Up	No change	Spry4
ENSMUSG00000024451	Up	No change	Arap3
ENSMUSG00000024471	Down	No change	Myot
ENSMUSG00000024481	Down	No change	Lvrn
ENSMUSG00000024501	Down	No change	Dpysl3
ENSMUSG00000024518	Down	No change	Rax
ENSMUSG00000024521	Up	Down	Pmaip1
ENSMUSG00000024526	Down	Up	Cidea
ENSMUSG00000024558	Up	Down	Mapk4
ENSMUSG00000024570	Up	Down	Rbfa
ENSMUSG00000024575	Up	Down	Pde6a
ENSMUSG00000024617	Up	No change	Camk2a
ENSMUSG00000024619	Up	No change	Cdx1
ENSMUSG00000024663	Down	Up	Rab3il1
ENSMUSG00000024694	Down	No change	Keg1
ENSMUSG00000024713	Down	No change	Pcsk5
ENSMUSG00000024725	Down	No change	Ostf1
ENSMUSG00000024727	Down	Up	Trpm6
ENSMUSG00000024737	Down	Up	Slc15a3
ENSMUSG00000024738	Down	No change	Pga5
ENSMUSG00000024749	Up	Down	Tmc1
ENSMUSG00000024754	Up	No change	Cemip2
ENSMUSG00000024793	Up	No change	Tnfrsf25
ENSMUSG00000024798	Down	No change	Htr7
ENSMUSG00000024867	Down	No change	Pip5k1b
ENSMUSG00000024897	Down	No change	Apba1
ENSMUSG00000024900	Down	No change	Cpt1a
ENSMUSG00000024901	Down	No change	Peli3
ENSMUSG00000024912	Up	No change	Fosl1
ENSMUSG00000024922	Up	No change	Ovol1
ENSMUSG00000024924	Up	No change	Vldlr
ENSMUSG00000024937	Up	No change	Ehbp1l1
ENSMUSG00000024972	Down	No change	Lgals12
ENSMUSG00000024987	Up	Up	Cyp26a1
ENSMUSG00000025017	Down	No change	Pik3ap1
ENSMUSG00000025026	Down	No change	Add3
ENSMUSG00000025056	Up	Down	Nr0b1
